trial_1,trial_2,trial_3
NA,NA,NA
0.6,NA,NA
0.513015726,0.6,NA
0.506989391,0.513334921,0.6
0.515752726,0.480028796,0.508796878
0.524426908,0.472255934,0.478871432
0.534883643,0.469031451,0.46239309
0.543256075,0.47459175,0.452378283
0.55121658,0.479568706,0.452498769
0.55443602,0.485315914,0.448979519
0.559172669,0.49135987,0.449071862
0.564087925,0.498125593,0.451589627
0.566939141,0.503856615,0.452922926
0.568585055,0.50843086,0.45764158
0.571181708,0.514191073,0.459303073
0.573986172,0.517803151,0.463895543
0.576142884,0.524469365,0.468556233
0.576751243,0.53049308,0.473045582
0.577496435,0.533133438,0.473435387
0.578898429,0.535687163,0.478437067
0.580595644,0.540001579,0.480673612
0.58078655,0.542421855,0.48633634
0.58038031,0.546983928,0.487653841
0.582829413,0.547995712,0.491638963
0.583925064,0.550193822,0.495773098
0.583720189,0.55185355,0.497892161
0.58448624,0.555164158,0.501084942
0.585320658,0.555659058,0.503403624
0.58594448,0.557735881,0.505346667
0.586098114,0.558821956,0.51076869
0.586749302,0.560196718,0.514040968
0.587541299,0.562182085,0.515903956
0.586825713,0.56383895,0.517718975
0.586721106,0.564467653,0.520197597
0.587646794,0.565267565,0.521049344
0.588816404,0.567497633,0.525230931
0.589147163,0.567896702,0.528017042
0.58908258,0.569134155,0.529024515
0.589144665,0.569738096,0.530963669
0.589984381,0.570652819,0.533092758
