PLAYER_ID,FG_K_1,FG_K_2,FG_K_3,FG_K_4,FG_K_5,FG_K_6,FG_K_7,FG_K_8,FG_K_9,FG_K_10,FG_K_11,FG_K_12
2747,0.5,0.535087719,0.533333333,0.470588235,0.142857143,0, , , , , , 
2748,0.359550562,0.4,0.375,0.5,0, , , , , , , 
2749,0.433035714,0.453333333,0.444444444,0.555555556,0.666666667,0, , , , , , 
2754,0.577181208,0.507692308,0.48,0.4,1,0, , , , , , 
2755,0.507598784,0.507936508,0.511111111,0.210526316,0, , , , , , , 
2756,1,0, , , , , , , , , , 
2757,0.483333333,0.47826087,0.714285714,0.25,0, , , , , , , 
2760,0.523809524,0.462686567,0.434782609,0.25,0, , , , , , , 
2772,0.571428571,0.524193548,0.490196078,0.578947368,0.555555556,0.75,1,1,0, , , 
101106,0.711656442,0.642857143,0.536585366,0.6,0.285714286,0, , , , , , 
101107,0.554913295,0.513157895,0.703703704,0.466666667,0.6,0.5,0, , , , , 
101108,0.553398058,0.576923077,0.586206897,0.68,0.666666667,0.6,0, , , , , 
101109,0.440217391,0.419354839,0.35,0.166666667,0, , , , , , , 
101110,0.433862434,0.318181818,0.294117647,0.25,0, , , , , , , 
101111,0.233333333,0.333333333,1,0, , , , , , , , 
101112,0.507936508,0.448979592,0.388888889,0.6,0.5,0, , , , , , 
101114,0.533057851,0.520833333,0.414634146,0.571428571,0.833333333,0.75,1,1,0, , , 
101115,0.529411765,0.444444444,0.3,0.5,0, , , , , , , 
101122,0.436781609,0.366666667,0.3,1,1,0, , , , , , 
101123,0.539156627,0.572519084,0.490909091,0.318181818,0.333333333,1,0, , , , , 
101126,0.630630631,0.407407407,0.352941176,0.2,0, , , , , , , 
101127,0.516587678,0.413793103,0.518518519,0.5,0.25,0, , , , , , 
101128,0.366666667,0.4,0.25,0, , , , , , , , 
101131,0.432432432,0.545454545,0.2,0, , , , , , , , 
101133,0.373333333,0.6,0.5,0, , , , , , , , 
101135,0.619047619,0.67816092,0.666666667,0.627906977,0.571428571,0.666666667,0.75,0.5,0, , , 
101138,0.590733591,0.570175439,0.509803922,0.666666667,0.5,0, , , , , , 
101139,0.540740741,0.563636364,0.541666667,0.6,0.6,1,1,0, , , , 
101141,0.48,0.462686567,0.583333333,0.636363636,0.8,0.666666667,1,0, , , , 
101142,0.612244898,0.75,0.416666667,0.666666667,0, , , , , , , 
101145,0.564516129,0.581521739,0.597402597,0.432432432,0.583333333,0.5,1,1,0, , , 
101150,0.427631579,0.48,0.5,0.428571429,0.5,0, , , , , , 
101154,0.523012552,0.647727273,0.454545455,0.4375,0.5,1,1,0, , , , 
101155,0, , , , , , , , , , , 
101161,0.670682731,0.669421488,0.555555556,0.62962963,0.9,0.285714286,0, , , , , 
101162,0.664652568,0.662650602,0.717948718,0.571428571,0.588235294,0.333333333,1,1,0, , , 
101179,0.12,0, , , , , , , , , , 
101181,0.540983607,0.411764706,0.352941176,0.5,0, , , , , , , 
101183,0.166666667,0, , , , , , , , , , 
101187,0.479166667,0.444444444,0.473684211,0.571428571,0.666666667,1,0, , , , , 
101198,0.514492754,0.471698113,0.368421053,0.166666667,0, , , , , , , 
101236,0.266666667,0.333333333,0, , , , , , , , , 
101249,0.352941176,0.538461538,0.4,0, , , , , , , , 
200745,0.479532164,0.542372881,0.375,0.125,0, , , , , , , 
200746,0.580168776,0.580952381,0.606382979,0.69047619,0.7,0.454545455,0.666666667,0, , , , 
200751,0.462406015,0.412371134,0.4375,0.5,0.8,1,1,1,0, , , 
200752,0.612565445,0.569832402,0.602564103,0.696969697,0.529411765,0.428571429,0.5,0, , , , 
200755,0.638461538,0.5,0.619047619,0.181818182,0, , , , , , , 
200756,0.285714286,0, , , , , , , , , , 
200757,0.4,0.371428571,0.363636364,0.666666667,1,0, , , , , , 
200758,0, , , , , , , , , , , 
200761,0.310344828,0.384615385,0, , , , , , , , , 
200765,0.509090909,0.595238095,0.6875,0.222222222,0, , , , , , , 
200768,0.52265861,0.477941176,0.595744681,0.476190476,0.375,0.5,0, , , , , 
200769,0.25,0.25,0, , , , , , , , , 
200770,0.518181818,0.431818182,0.4,0.5,0, , , , , , , 
200777,0.258064516,0.307692308,0.333333333,0, , , , , , , , 
200779,0.446808511,0.571428571,0.142857143,0, , , , , , , , 
200780,0.2,0, , , , , , , , , , 
200782,0.47029703,0.549295775,0.5,0.6,0.2,0, , , , , , 
200794,0.587743733,0.6,0.633802817,0.588235294,0.5625,0.833333333,0.5,1,0, , , 
