trial_1,trial_2,trial_3
NA,NA,NA
0.4,NA,NA
0.322729048,0.4,NA
0.308249821,0.327187597,0.4
0.309929351,0.297354377,0.328982366
0.312088462,0.29014306,0.295593011
0.319418747,0.281870221,0.288122605
0.326515731,0.277744931,0.272407762
0.331389699,0.279274133,0.271041576
0.337284338,0.279214899,0.263850416
0.344839014,0.281609825,0.265606819
0.348275071,0.284127553,0.262413008
0.350487882,0.283760243,0.261097125
0.354487065,0.285656246,0.262508827
0.357079615,0.286523193,0.260069171
0.359491134,0.291783428,0.259761291
0.362830992,0.294390424,0.263025252
0.36552876,0.298141423,0.263414207
0.367322581,0.300458549,0.263551805
0.368528984,0.301516779,0.264126794
0.370461205,0.304161498,0.263508658
0.371811604,0.30676404,0.267539774
0.372990689,0.309007707,0.267601477
0.375013044,0.312078256,0.26778485
0.374545631,0.314771555,0.269810808
0.375427227,0.315062234,0.269509807
0.377621851,0.318112565,0.270429517
0.376971679,0.322257992,0.270210492
0.378186947,0.32339316,0.272073885
0.379801385,0.324999266,0.273535594
0.380098957,0.328087162,0.274483874
0.380541351,0.329542961,0.274847984
0.381438456,0.331066947,0.276889157
0.381450136,0.332507522,0.274557803
0.382247182,0.334029828,0.277411465
0.382821072,0.335256202,0.27949981
0.382677116,0.337955523,0.280934548
0.383898971,0.338300148,0.280836581
0.384254796,0.340804054,0.283576462
0.384401681,0.342263701,0.282284713
